Parameter Code,Analysis Method Code,Unit,Parameter Long Name,Method Name,Method Type,Method Number,Method Source,Method Description
As-Tot,As-AAS-E-PPS,mg/l,Arsenic - Total,Electrothermal Atomic Absorption Spectrometric Method with K2S2O8 Digestion (Arsenic),Spectroscopy,SM 3113 B,APHA 2012,"A sample is preserved in the field at 4°C. The sample aliquot is digested and oxidised with an acidic potassium persulphate solution, then all forms of arsenic are reduced to arsenite (As3+) with HCl. Hydrides of arsenic are formed in an acidic sodium borohydride solution. The arsine vapours are separated from the solution by heating, usually in three stages in a graphite furnace or an electrically heated atomiser in which: first, a low current is applied to dry the sample; the second stage chars the sample by destroying the organic matter and volatilises other matrix compounds; finally, the third stage applies a high current which heats the tube to incandescence and atomises the arsenic to be determined. The absorbance of the resultant ground state atoms is measured at 193.7 nm and is compared to identically-prepared standard and blank solutions"
As-Tot,As-AAS-HYD-SA-NA-PCA,mg/l,Arsenic - Total,"Manual Hydride Generation/Atomic Absorption Spectroscopy with H2SO4, HNO3, and HClO4 Dig. (Arsenic)",Spectroscopy,SM 3114 B,APHA 2012,"A sample is preserved in the field at 4°C. The sample aliquot and standard solutions are digested with H2SO4, HNO3, and HClO4. Arsenic is reduced to arsine with acidic NaBH4 solution and is then sparged into a heated quartz combustion tube, decomposing the hydride to form arsenic atoms. The absorbance is measured spectrometrically at 193.7 nm and compared to identically-prepared standard and blank solutions."
As-Tot,As-COL-Wag,mg/l,Arsenic - Total,Colorimetry (Wagtech Arsenator Method),Colorimetry,Wag-WE10500,Wagtech 2013,"The Arsenator system is based on the Gutzeit method in which arsine gas is generated, then reacted with mercuric bromide (HgBr2). It features a portable digital photometer capable of giving accurate digital readings within an arsenic concentration range of 2-100 ppb. A tri-filter arsenic trap removes excess arsine gas as well as any hydrogen sulphide which may be given off as a by-product of the reaction."
As-Tot,COL-SDDC-NA,mg/l,Arsenic - Total,Silver Diethyldithiocarbamate Method with HNO3 Digestion,Colorimetry,SM 404 A,APHA 1975,"A sample is preserved in the field at 4°C. The sample aliquot is digested in nitric acid. Add consecutively HCl, KI and SnCl2 solutions (swirl between each addition) to the sample aliquot and allow one hour for reduction. The inorganic arsenic is reduced (gaseous arsine) by zinc in an acid medium. The arsine is then passed through a scrubber containing glass wool impregnated with lead acetate to remove sulphide and finally through an absorber tube containing Silver Diethyl Dithiocarbamate in pyridine. The arsenic reacts with the silver salt and forms a red colour, measured spectrometrically at 540 nm and compared to identically-prepared standard and blank solutions."
As-Tot,ICP-AES-AsH-PS,mg/l,Arsenic - Total,Inductively Coupled Plasma (ICP) Method with AsH3 Generation and S2O8 Digestion,Spectroscopy,SM 3114C; 3120 B,APHA 2012,"A sample is preserved in the field at 4°C. From the sample aliquot, all organoarsenides are decomposed with acidic persulphate. After reduction to arsenite with HCl, the metal is converted to its hydride form with sodium borohydride in an automated system and passed though an argon plasma torch where it is decomposed to its arsenic atoms, measured by emission spectrometry at 193.7 nm and compared to identically-prepared standard and blank solutions."
As-Tot,ICP-MS,mg/l,Arsenic - Total,Inductively-Coupled Plasma Mass Spectrometry,Spectroscopy,SM 3125 B,APHA 2012,"A sample is preserved in the field with mineral acid. The sample aliquot is aspirated into an argon-based, high temperature radio frequency plasma. The sample is dissolved, atomised and ionised. These ions are extracted from the plasma through a vacuum interface and separated on the basis of their mass to charge ratio by a mass spectrometer. The ions are counted by an electron multiplier detector and the resulting information processed by a computer database system and compared to identically-prepared standard and blank solutions."
As-Tot,ICP-MS-CVD,mg/l,Arsenic - Total,Inductively-Coupled Plasma Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,Water samples are preserved at 2% nitric acid and digested overnight at 60°C in a closed vessel. The resulting solution is analyzed by ICP-MS.
As-Tot,ICP-OES-JWWA2001,mg/l,Arsenic - Total,Inductively Coupled Plasma by Optical Emission Spectrometry (JWWA 2001),Spectroscopy,VI-3 17.4,JWWA 2001,"A sample is preserved in the field with nitric acid. The sample aliquot is digested with nitric acid and H2O2 to oxidise all organoarsenides, then passed through a tube furnace at 850°C, using a 1000 ppm nickel nitrate solution as a matrix modifier, and the arsenic atoms and measured spectrometrically at 193.7 nm and compared to identically-prepared standard and blank solutions."
As-Tot,ICP-SFMS-CVD,mg/l,Arsenic - Total,Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
ATRAZINE,GC-NPD,µg/l,Atrazine,Gas Chromatography with Nitrogen-Phosphorus Detector,Chromatography,NAQ 18415,Environment Canada 1979,"A sample aliquot is extracted with dichloromethane three times. The extract is loaded on a Florisil® column and two separate fractions are eluted using 15% dichloromethane in hexane for fraction A and 2% methanol in dichloromethane for fraction B (which contains the atrazine). Concentrate in a rotary flask, transfer to a graduated centrifuge tube. Add iso-octane as a keeper and concentrate under a gentle stream of nitrogen at 40°C. The sample extract is then injected into a dual column GC/NPD and quantitated, according to its retention time and peak height/area, using a multi-point calibration curve. A gas chromatograph equipped with a mass selective detector (GC/MSD) is used if confirmation is required. Interference: Some organic compounds may co-extract with atrazine but most interferences are eliminated by Florisil® clean up. All solvents are checked for background interference."
ATRAZINE,PHLHs-SPE-GC-MS-MHLW,µg/l,Atrazine,PHENOLS - Solid Phase Extraction-Gas Chromatography-Mass Spectrometry (MHLW 2003),Chromatography,No. 261:29,MHLW 2003,"The water sample is collected in a clean, dry glass bottle and stored in a cool dark location until analysis. If chlorine is present, add 0.01-0.02g of sodium ascorbate per 1mg of residual chlorine. A solid phase column of styrene divinylbenzene copolymer or packed with silica gel chemically bonded octadecyl groups is washed sequentially with 5mL each of dichloromethane, methanol and purified water. Purified water is added to the test sample to adjust the concentrations of the target substances to fall within the prescribed concentration ranges (0.1-10 µg/L). The sample solution is passed through the solid-phase column at a flow rate of 10-20mL/min, and dried by flushing with nitrogen gas or air for 30min or more. Next, 3mL of dichloromethane is gently flowed through the solid-phase column in the direction opposite to the direction of regular water flow and the extract collected in a test tube. The extract is concentrated by blowing N2 gas until the final extract volume is less than 0.8mL. After adding 0.2mL internal standard, dichloromethane is added to bring the total volume to 1mL. This extract analyzed by GC-MS, by comparing to blanks and standard solutions that have undergone the same sample treatment."
Ba-Dis,FAAS-NAc-D,mg/l,Barium - Dissolved,Direct Nitrous Oxide-Acetylene Flame Atomic Absorption Spectrometry,Spectroscopy,SM 3111 D,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. A NaCl solution is added to the acidified sample aliquot (to overcome the ionisation interference) and then aspirated into the flame. The absorbance is then measured spectrometrically at 553.6 nm and compared to identically-prepared standard and blank solutions, using a nitrous oxide-acetylene reducing flame."
Ba-Dis,ICP-MS,mg/l,Barium - Dissolved,Inductively-Coupled Plasma Mass Spectrometry,Spectroscopy,SM 3125 B,APHA 2012,"A sample is filtered in the field through a 0.2 µm membrane filter and preserved with nitric acid. Using a peristaltic pump, the sample aliquot is introduced to an argon stream high temperature and radio frequency plasma in which the sample undergoes desolvation, atomization and ionization. The ions generated are separated on the basis of their mass to charge ratio in the mass spectrometer, counted by an electron multiplier detector and compared to identically-prepared standard and blank solutions.~r~n Interference: Isobaric elemental interferences are calculated automatically by the data system; the abundance sensitivity should be corrected through adjustment of the spectrometer resolution; physical interferences are usually corrected by ensuring the water sample does not contain more than 0.5% dissolved solids; ionization interferences are corrected by the addition of internal standards and sufficient wash-time should minimise memory interferences."
BAP,LLE-HPLC-FD-UVD,µg/l,"3,4-Benzopyrene",Liquid-Liquid Extraction High Performance Liquid Chromatography and Fluorescence/UV-Detector,Chromatography,SM 6440 B,APHA 2012,"Mark the water meniscus on the side of the sample bottle for later determination of volume. Pour entire sample into a 2-L separatory funnel and extract. Separation and clean-up is by means of a silica-gel column. Add 4mL acetonitrile and concentrate the extract in a 95-100°C water bath using a micro-Snyder column. Rinse column with 0.2 mL acetonitrile. Adjust final extract volume to 1.0mL. After the operating conditions are met, proceed with calibration and sample analysis. If the internal standard calibration procedure is being used, add internal standard to sample extract and mix thoroughly. Immediately inject 5 to 25µL sample extract or standard into HPLC using a high pressure syringe or constant-volume sample injection loop. Record volume injected to nearest 0.1 µL and resulting peak size in area or peak height units. Re-equilibrate HPLC column at initial gradient conditions for at least 10 minutes between injections. Identify compounds in sample by comparing peak retention times with peaks of standard chromatograms."
